no,date,username,tweet
954,Sun Mar 10 14:46:07 +0000 2019,liveiswonderful,"@Dahnilanzar @sandiuno Nanti jika Prabowo Sandi sudah dilantik jadi Presiden, mohon diusut dan selesaikan karier mereka."
955,Sun Mar 10 14:46:08 +0000 2019,hanzbndaudio,RT @habibthink: Hanya Prabowo yang bisa berbicara seperti ini. Pak Jokowi jangan coba-coba ya. https://t.co/FhsfXYmrUT
956,Sun Mar 10 14:46:08 +0000 2019,thubiy,"RT @helmifelis: Jokowi minta pendukungnya tidak takut melawan Hoax.

Woy pendukung Prabowo, jangan takut melawan janji-janji yang menipu ra…"
957,Sun Mar 10 14:46:09 +0000 2019,tHo_Haidar,"RT @MSApunya: #Makkah Saudi Arabia

PESAN HRS (Part 3)
Pesan HRS terkait Pilpres 2019 saat kedatangan Ketua BPN Prabowo Sandi Bpk Jenderal…"
958,Sun Mar 10 14:46:10 +0000 2019,AbahWiranta20,"Psi = partai nya sampah indonesia 
@psi_id"
959,Sun Mar 10 14:46:10 +0000 2019,surantiko,"RT @RelawanProSandi: Rezim luarbiasa!
Bermusik aja dilarang

Kalian ini makhluk apa sih?

#RakyatPilihPrabowoDanSandi @prabowo @sandiuno

B…"
960,Sun Mar 10 14:46:10 +0000 2019,ismail_yusanto,"RT @JamanSulit: Pak @prabowo gak jd ke Banjarmasin krn gak boleh datang. 
Konser Dewa19 pun batal krn gak di kasih ijin.. 

Rezim otoriter…"
961,Sun Mar 10 14:46:10 +0000 2019,Abahujang12,Hasil survei mbah linglung..jokowi  0 % prabowo 100 %...tapi dalam mimpi hahahahahaha
962,Sun Mar 10 14:46:11 +0000 2019,den2cihuy,@TeddyGusnaidi @prabowo Sama kek Lo @TeddyGusnaidi ngurus congor aja gak becus.
963,Sun Mar 10 14:46:11 +0000 2019,sidodolipret,"RT @elangbc: #17AprilEmak2KepungTPS
~Rakyat INGIN PERUBAHAN : 17 April 2019
~Pemerintahan: BEBAS dari KORUPSI.

Wawancara TV3 Malaysia deng…"
964,Sun Mar 10 14:46:11 +0000 2019,tulusshartono,"RT @CakKhum: Yang sudah tua jangan coba-coba ikut-ikutan seperti ini, nanti kakinya bisa keseleo.

Basket ? Jago
Renang ? hayo aja
Lari ? r…"
965,Sun Mar 10 14:46:12 +0000 2019,Yasmin15889819,"RT @JamanSulit: Alhamdulillah, Aa Gym Kedatangan Sahabat Lama Pak @prabowo Subianto Di Darut Tahid Bandung. https://t.co/s0NHvj647S"
966,Sun Mar 10 14:46:13 +0000 2019,Donoope,"RT @RajaPurwa: Sekali lagi gw bersumpah demi Allah, gw gak kenal secara langsung dgn @prabowo @sandiuno dan tdk ada seorang pun yg berkuasa…"
967,Sun Mar 10 14:46:13 +0000 2019,Lek_Sandra,"RT @geloraco: Prabowo: Memang Saya Tak Punya Gelar, tapi Saya Punya Akal Sehat
 #ILCSambharMenyambar #GuePenginPemimpinJujur
https://t.co/A…"
968,Sun Mar 10 14:46:14 +0000 2019,GiskaHanima,"RT @DonAdam08: Bendera sudah kita kibarkan, pantang pulang sebelum menang. In shaa allah pak @prabowo
dan bang @sandiuno Menang! #JabarPili…"
969,Sun Mar 10 14:46:15 +0000 2019,tsy_nsh,"RT @AcehSelatanSatu: Prabowo tak pernah cari musuh, dia dikianati, dia dibenci dan difitnah

Mas Prabowo tak marah!
Atau Balas menghina!…"
970,Sun Mar 10 14:46:15 +0000 2019,Sjaechu,"RT @liem_id: Kreatif kali cawapres 02..
Cebi sekolam bisa kelojotan..hahaha..???
#PastikanCoblos02
#ILCSambharMenyambar

Sandiaga Bilang: S…"
971,Sun Mar 10 14:46:16 +0000 2019,Syihab30,"RT @RelawanProSandi: Saat Mereka Teriak2 Saracen dan dipublish habis2an

Sekarang saat muncul alumni Sambhar kalian bilang HOAX? 

Thanks @…"
972,Sun Mar 10 14:46:16 +0000 2019,ozzymiharja,"RT @ayuningtyas___: Pasha Ungu dan Istri udah Turun gunung naik Becak, Untuk Kemenangan 02 Prabowo-Sandi, Adil Makmur.
#DihatiSelalu02 http…"
973,Sun Mar 10 14:46:16 +0000 2019,yanivandez,"RT @iRwanS121: Salam Perjuangan dr desa Wates Jaya, Cigombong, Kab Bogor.. 
Mrk msh berjuang utk hak2 mrk... 
Semoga Allah mmberi kemudahan…"
974,Sun Mar 10 14:46:16 +0000 2019,ranger_white28,"RT @Parodi_Negeri: Dia naik Kuda, lo nyinyir

Dia punya Pesawat, loe ngiri

Dia naik Alphard, loe sindir

Hidop loe perih banget Bong !

Bo…"
975,Sun Mar 10 14:46:17 +0000 2019,AyatUye1,RT @musniumar: Innalillahi wa innailaihi rajiun. Civitas Akademika Univ. Ibnu Chaldun Jkt menyampaikan duka yg dlm atas wafatnya Mayjen TNI…
